bgc_id,compound_name,formula,formula_source,mass,organism,subclass,C,H,O,z_star_alphabet_plus_mass,tier,runtime_s,cycle_lo,cycle_hi
BGC0000003,AF-toxin,C22H32O9,mibig,440.20463260399987,Alternaria alternata,unknown,22,32,9,-1,OUT_OF_RANGE,0.0,0,0
BGC0000004,aflatoxin G1,C17H12O7,mibig,328.058302724,Aspergillus oryzae,unknown,17,12,7,-1,OUT_OF_RANGE,0.0,0,0
BGC0000005,aflatoxin,C17H12O7,mibig,328.058302724,Aspergillus parasiticus,unknown,17,12,7,-1,OUT_OF_RANGE,0.0,0,0
BGC0000006,aflatoxin B1,C17H12O6,smiles_recovery,nan,Aspergillus flavus,unknown,17,12,6,-1,OUT_OF_RANGE,0.0,0,0
BGC0000007,aflatoxin G1,C17H12O7,mibig,328.058302724,Aspergillus flavus,unknown,17,12,7,-1,OUT_OF_RANGE,0.0,0,0
BGC0000008,aflatoxin B1,C17H12O6,smiles_recovery,nan,Aspergillus flavus,unknown,17,12,6,-1,OUT_OF_RANGE,0.0,0,0
BGC0000009,aflatoxin B1,C17H12O6,smiles_recovery,nan,Aspergillus nomius,unknown,17,12,6,-1,OUT_OF_RANGE,0.0,0,0
BGC0000010,aflatoxin,C17H12O7,mibig,328.058302724,Aspergillus flavus,unknown,17,12,7,-1,OUT_OF_RANGE,0.0,0,0
BGC0000011,Sterigmatocystin,C18H12O6,mibig,324.0634,Aspergillus ochraceoroseus,unknown,18,12,6,-1,OUT_OF_RANGE,0.0,0,0
BGC0000012,alternapyrone,C28H44O3,mibig,428.3290452679999,Alternaria solani,unknown,28,44,3,-1,OUT_OF_RANGE,0.0,0,0
BGC0000013,alternariol,C14H10O5,mibig,258.05282342000004,Aspergillus nidulans FGSC A4,unknown,14,10,5,-1,TIMEOUT,30.0,5,8
BGC0000022,asperfuranone,C19H24O5,mibig,332.162373868,Aspergillus nidulans FGSC A4,unknown,19,24,5,-1,OUT_OF_RANGE,0.0,0,0
BGC0000027,ankaflavin,C23H30O5,mibig,386.2093240599999,Monascus pilosus,unknown,23,30,5,-1,OUT_OF_RANGE,0.0,0,0
BGC0000030,bikaverin,C20H14O8,mibig,382.0688674079999,Fusarium fujikuroi IMI 58289,unknown,20,14,8,-1,OUT_OF_RANGE,0.0,0,0
BGC0000037,cichorine,C10H11NO3,mibig,193.073893212,Aspergillus nidulans FGSC A4,unknown,10,11,3,-1,NON_CHO (N),0.0,0,0
BGC0000039,compactin,C23H36O6,mibig,408.2511888719999,Penicillium citrinum,unknown,23,36,6,-1,OUT_OF_RANGE,0.0,0,0
BGC0000045,dehydrocurvularin,C16H18O5,mibig,290.115423676,Aspergillus terreus,unknown,16,18,5,-1,TIMEOUT,30.0,6,9
BGC0000046,depudecin,C11H16O4,mibig,212.104858992,Alternaria brassicicola,unknown,11,16,4,99,DISCARD_>30,0.925900936126709,3,6
BGC0000048,dothistromin,C18H12O9,mibig,372.0481319639999,Dothistroma septosporum,unknown,18,12,9,-1,OUT_OF_RANGE,0.0,0,0
BGC0000057,F9775A,C21H16O8,mibig,396.0845174719999,Aspergillus nidulans FGSC A4,NR,21,16,8,-1,OUT_OF_RANGE,0.0,0,0
BGC0000062,Fumonisin B1,C34H59NO15,mibig,721.3885,Fusarium verticillioides,unknown,34,59,15,-1,NON_CHO (N),0.0,0,0
BGC0000063,hydroxyl-Fumonisin C1,C33H57NO16,smiles_recovery,nan,Fusarium oxysporum,unknown,33,57,16,-1,NON_CHO (N),0.0,0,0
BGC0000064,fusarin C,C22H29NO5,mibig,387.20457302799997,Fusarium verticillioides,unknown,22,29,5,-1,NON_CHO (N),0.0,0,0
BGC0000070,griseofulvin,C17H17ClO6,mibig,352.071365944,Penicillium aethiopicum,unknown,17,17,6,-1,NON_CHO (Cl),0.0,0,0
BGC0000076,hypothemycin,C19H22O8,mibig,378.13146766399984,Hypomyces subiculosus,unknown,19,22,8,-1,OUT_OF_RANGE,0.0,0,0
BGC0000077,hypothemycin,C19H22O8,mibig,378.13146766399984,Hypomyces subiculosus,unknown,19,22,8,-1,OUT_OF_RANGE,0.0,0,0
BGC0000088,lovastatin,C24H36O5,mibig,404.2562742519999,Aspergillus terreus,unknown,24,36,5,-1,OUT_OF_RANGE,0.0,0,0
BGC0000089,lovastatin,C24H36O5,mibig,404.2562742519999,Aspergillus terreus,unknown,24,36,5,-1,OUT_OF_RANGE,0.0,0,0
BGC0000098,monacolin K,C24H36O5,mibig,404.2562742519999,Monascus pilosus,unknown,24,36,5,-1,OUT_OF_RANGE,0.0,0,0
BGC0000099,monascorubrin,C23H26O5,mibig,382.1780239319999,Talaromyces marneffei,unknown,23,26,5,-1,OUT_OF_RANGE,0.0,0,0
BGC0000101,emodin,C15H10O5,mibig,270.05282342,Aspergillus nidulans FGSC A4,NR,15,10,5,-1,TIMEOUT,30.0,5,8
